J	?th	eig	newsr	ewsr
0.0	1	-10.323	8.561	44.737
0.0	2	-6.920	2.815	4.791
0.0	3	-5.449	9.762	13.657
0.0	4	-4.117	10.246	-12.500
0.0	5	-3.082	11.860	-26.221
0.0	6	-1.360	15.616	-24.949
0.0	7	0.139	21.041	-20.910
0.0	1	-7.166	3.376	8.660
0.0	2	-5.068	7.144	1.837
0.0	3	-3.095	17.232	2.461
1.0	1	-9.446	6.944	39.393
1.0	2	-3.974	10.997	-2.507
1.0	3	-3.761	5.846	-1.843
1.0	4	-2.127	10.393	-6.154
1.0	5	-1.339	13.268	-30.150
1.0	1	-9.692	9.529	39.160
1.0	2	-6.773	3.598	7.607
1.0	3	-4.437	8.621	-1.669
1.0	4	-3.208	10.414	6.088
1.0	5	-2.903	7.622	-5.057
1.0	6	-1.611	7.524	-6.758
1.0	7	-0.319	12.898	-56.410
2.0	1	-12.185	7.259	62.279
2.0	2	-5.975	4.283	10.199
2.0	3	-5.475	7.730	7.509
2.0	4	-4.349	8.784	0.592
2.0	5	-3.045	6.855	-2.465
2.0	6	-3.012	6.405	-15.958
2.0	7	-1.811	14.245	-10.238
2.0	8	-0.463	17.358	-35.237
2.0	9	0.876	13.024	-47.259
2.0	1	-9.679	7.900	39.755
2.0	2	-5.390	5.797	-0.724
2.0	3	-4.581	4.630	-0.801
2.0	4	-2.996	10.705	-2.359
2.0	5	-1.960	9.916	-10.454
2.0	6	-1.040	6.933	-20.648
3.0	1	-5.123	9.208	32.377
3.0	2	-4.276	7.488	6.588
3.0	3	-0.825	9.491	-11.749
3.0	1	-5.938	8.377	11.686
3.0	2	-3.383	7.055	-3.910
3.0	3	-3.108	6.725	-2.830
4.0	1	-3.909	12.780	13.967
4.0	2	-0.531	7.810	-15.350
4.0	1	-2.851	8.729	-2.257
