J	?th	eig	newsr	ewsr
0.0	1	-11.809	2.817	16.774
0.0	2	-6.490	3.000	3.867
0.0	3	-5.285	4.651	-1.689
0.0	4	-3.931	7.661	-14.176
0.0	5	-3.549	5.976	-3.796
0.0	6	-2.753	7.076	6.398
0.0	7	-1.726	8.895	-16.691
0.0	8	0.618	8.565	-0.408
0.0	1	-10.707	3.129	13.721
0.0	2	-6.149	3.351	7.097
0.0	3	-4.498	4.792	2.844
0.0	4	-4.442	5.533	3.074
0.0	5	-3.192	3.691	-1.737
0.0	6	-1.047	8.947	-35.871
1.0	1	-19.663	2.867	43.627
1.0	2	-7.604	5.586	28.627
1.0	3	-6.863	4.397	10.685
1.0	4	-6.358	2.793	5.425
1.0	5	-5.984	6.837	6.693
1.0	6	-5.037	5.115	1.270
1.0	7	-3.958	3.462	2.065
1.0	8	-3.424	4.198	-4.006
1.0	9	-2.837	8.639	-2.501
1.0	10	-2.581	8.860	-16.620
1.0	11	-2.332	8.609	-9.864
1.0	12	-1.821	5.249	-11.524
1.0	13	-1.066	5.036	-8.958
1.0	14	-0.415	6.592	-28.647
1.0	15	0.683	4.784	-13.226
1.0	16	1.688	9.138	-51.042
1.0	1	-18.379	3.153	43.258
1.0	2	-6.910	6.817	18.402
1.0	3	-6.159	3.571	7.314
1.0	4	-5.575	4.082	-0.881
1.0	5	-5.282	4.759	0.663
1.0	6	-4.805	3.601	3.242
1.0	7	-3.881	2.848	3.574
1.0	8	-3.369	6.361	-7.776
1.0	9	-3.296	4.885	-2.300
1.0	10	-3.057	4.251	-5.511
1.0	11	-1.966	5.408	-5.017
1.0	12	-1.161	5.697	-13.945
1.0	13	0.220	5.004	-17.898
1.0	14	0.349	5.064	-18.457
2.0	1	-18.768	3.734	57.949
2.0	2	-7.422	7.053	25.658
2.0	3	-6.145	4.267	10.480
2.0	4	-6.019	3.211	4.940
2.0	5	-5.842	5.265	8.260
2.0	6	-4.651	5.092	5.180
2.0	7	-3.911	5.501	9.496
2.0	8	-3.413	4.959	-2.345
2.0	9	-2.551	5.562	-15.070
2.0	10	-2.106	7.159	-8.557
2.0	11	-1.920	5.308	-4.668
2.0	12	-1.278	6.234	-10.777
2.0	13	-0.162	6.212	-11.700
2.0	14	1.319	8.077	-27.183
2.0	15	1.527	5.424	-14.372
2.0	1	-16.383	2.881	31.739
2.0	2	-6.535	6.393	12.499
2.0	3	-5.967	4.435	7.409
2.0	4	-5.367	3.480	5.161
2.0	5	-4.741	4.957	-0.300
2.0	6	-4.006	2.508	-0.429
2.0	7	-3.667	4.269	-1.402
2.0	8	-3.035	4.627	-3.263
2.0	9	-2.921	6.648	-8.996
2.0	10	-2.064	3.143	-7.637
2.0	11	-0.376	5.022	-9.312
2.0	12	0.805	3.613	-14.215
3.0	1	-11.421	4.118	26.501
3.0	2	-5.451	5.333	6.090
3.0	3	-4.888	5.459	9.376
3.0	4	-4.002	5.803	2.799
3.0	5	-3.289	6.201	2.729
3.0	6	-2.726	5.716	-1.865
3.0	7	-1.109	7.138	-12.285
3.0	8	0.031	6.140	-13.591
3.0	9	0.801	5.469	-14.688
3.0	1	-9.696	4.788	20.764
3.0	2	-4.788	3.197	4.776
3.0	3	-3.374	3.982	-2.104
3.0	4	-2.630	5.353	-8.281
3.0	5	-1.921	4.564	-5.164
3.0	6	-1.043	3.332	-4.884
4.0	1	-4.233	6.771	3.752
4.0	2	-3.015	6.194	0.310
4.0	3	-1.759	5.686	-3.081
4.0	1	-4.325	4.319	-4.387
4.0	2	-1.153	4.982	-6.186
5.0	1	-2.207	6.814	-2.458
