J	?th	eig	newsr	ewsr
0.5	1	-24.099	14.913	33.325
0.5	2	-17.774	8.965	30.042
0.5	3	-15.144	8.534	19.859
0.5	4	-14.453	8.317	13.318
0.5	5	-14.365	3.796	17.048
0.5	6	-11.863	7.782	4.776
0.5	7	-11.543	10.954	20.110
0.5	8	-9.335	5.952	-3.250
0.5	9	-8.209	6.654	11.742
0.5	10	-8.148	9.197	-2.485
0.5	11	-7.603	10.872	-0.433
0.5	12	-5.059	3.834	5.254
0.5	13	-4.706	5.737	-6.808
0.5	14	-4.142	8.458	-10.914
0.5	15	-1.782	5.571	-11.381
0.5	16	0.109	6.184	-14.080
0.5	17	0.141	6.425	-11.691
0.5	18	0.767	6.275	-14.208
0.5	19	4.576	5.517	-17.435
1.5	1	-22.321	12.729	35.156
1.5	2	-17.159	8.814	18.587
1.5	3	-16.913	8.601	22.981
1.5	4	-15.916	8.754	12.686
1.5	5	-15.269	9.094	18.533
1.5	6	-12.966	9.318	15.094
1.5	7	-12.752	7.699	8.963
1.5	8	-12.173	5.832	5.239
1.5	9	-11.733	8.690	5.148
1.5	10	-11.476	10.653	6.429
1.5	11	-9.948	8.854	5.304
1.5	12	-9.897	7.858	-0.963
1.5	13	-9.126	6.930	3.573
1.5	14	-8.258	5.400	4.026
1.5	15	-7.979	5.654	4.797
1.5	16	-7.747	6.828	3.552
1.5	17	-7.154	7.373	-4.053
1.5	18	-6.730	7.715	-4.409
1.5	19	-5.606	6.797	-2.893
1.5	20	-4.959	8.696	-6.125
1.5	21	-4.671	5.360	-4.461
1.5	22	-3.764	5.432	-10.986
1.5	23	-3.352	6.592	-10.310
1.5	24	-2.997	6.193	-4.489
1.5	25	-1.293	6.159	-13.098
1.5	26	-0.095	5.965	-14.317
1.5	27	1.421	5.310	-19.430
1.5	28	2.060	5.024	-18.065
1.5	29	2.360	6.002	-15.869
1.5	30	5.952	4.562	-23.488
2.5	1	-24.014	12.331	29.819
2.5	2	-19.029	8.960	16.573
2.5	3	-17.419	9.468	17.045
2.5	4	-16.406	5.645	13.162
2.5	5	-16.037	7.807	14.769
2.5	6	-15.698	10.211	20.531
2.5	7	-14.379	7.022	5.140
2.5	8	-12.960	7.478	13.385
2.5	9	-12.776	8.174	7.675
2.5	10	-12.574	8.101	16.192
2.5	11	-11.578	6.807	4.340
2.5	12	-11.141	8.554	8.736
2.5	13	-10.765	6.036	5.276
2.5	14	-9.418	6.677	-2.167
2.5	15	-8.991	6.660	9.759
2.5	16	-8.548	7.023	-3.500
2.5	17	-8.127	6.601	-1.583
2.5	18	-7.342	5.971	3.461
2.5	19	-6.921	8.223	-0.100
2.5	20	-6.386	7.389	-7.401
2.5	21	-6.138	6.926	-1.013
2.5	22	-5.156	6.087	-8.020
2.5	23	-4.452	5.890	-8.139
2.5	24	-3.987	5.812	-8.430
2.5	25	-3.938	6.226	-12.861
2.5	26	-2.915	6.211	-14.474
2.5	27	-1.465	5.194	-11.529
2.5	28	-1.371	6.597	-11.868
2.5	29	0.605	5.805	-8.452
2.5	30	1.429	5.569	-18.349
2.5	31	1.716	4.387	-20.157
2.5	32	4.140	4.915	-18.393
3.5	1	-19.125	8.059	20.327
3.5	2	-17.870	7.704	17.241
3.5	3	-17.712	10.862	12.976
3.5	4	-15.332	9.418	8.151
3.5	5	-14.042	5.486	9.871
3.5	6	-13.111	7.598	1.159
3.5	7	-12.842	5.737	7.632
3.5	8	-11.861	9.105	0.880
3.5	9	-11.307	6.436	6.582
3.5	10	-10.903	6.722	0.811
3.5	11	-9.015	6.294	3.965
3.5	12	-8.810	7.499	-1.753
3.5	13	-8.390	6.783	-5.733
3.5	14	-7.617	6.681	-2.018
3.5	15	-6.522	6.320	-7.321
3.5	16	-6.067	5.606	-5.669
3.5	17	-5.485	4.877	-4.105
3.5	18	-5.211	4.592	-9.942
3.5	19	-4.772	6.064	-10.368
3.5	20	-3.317	5.041	-11.702
3.5	21	-1.425	5.366	-16.763
3.5	22	-0.881	5.066	-17.670
3.5	23	-0.391	4.761	-16.533
3.5	24	2.738	5.040	-20.346
4.5	1	-21.439	10.453	12.648
4.5	2	-16.917	5.780	8.845
4.5	3	-16.036	9.175	8.049
4.5	4	-13.625	5.250	2.186
4.5	5	-12.886	7.771	7.673
4.5	6	-11.697	6.278	4.646
4.5	7	-10.866	5.701	-0.617
4.5	8	-10.201	5.318	-0.181
4.5	9	-9.656	6.727	-2.466
4.5	10	-8.537	5.255	-0.099
4.5	11	-6.194	4.867	-9.321
4.5	12	-5.237	5.766	-9.186
4.5	13	-5.110	5.704	-3.067
4.5	14	-3.155	5.279	-16.225
4.5	15	-0.864	4.826	-17.135
5.5	1	-17.365	6.968	7.408
5.5	2	-16.029	5.319	5.903
5.5	3	-13.169	6.367	-3.273
5.5	4	-10.662	5.895	2.500
5.5	5	-8.007	5.322	-7.791
5.5	6	-5.904	5.939	-13.859
6.5	1	-19.394	6.768	7.934
6.5	2	-13.711	6.562	6.632
