J	?th	eig	newsr	ewsr
0.0	1	-11.932	9.658	25.864
0.0	2	-7.339	7.767	18.705
0.0	3	3.077	6.598	-13.169
1.0	1	-13.413	10.407	38.434
1.0	2	-9.530	7.102	21.147
1.0	3	-6.032	9.047	-6.548
1.0	4	-3.697	5.713	-1.564
1.0	5	-1.162	6.515	-10.249
1.0	6	-0.577	6.515	-7.310
1.0	7	2.915	5.679	-14.748
2.0	1	-9.933	8.282	11.688
2.0	2	-8.786	9.222	7.063
2.0	3	-7.572	5.983	6.411
2.0	4	-5.815	4.286	3.300
2.0	5	-2.051	5.962	-6.927
2.0	6	-1.821	6.934	-1.786
2.0	7	-0.901	6.539	-6.991
2.0	8	4.288	4.467	-20.586
3.0	1	-12.469	9.626	10.974
3.0	2	-9.227	4.329	8.833
3.0	3	-6.505	6.493	4.097
3.0	4	-2.902	5.200	-7.647
3.0	5	-0.991	4.300	-12.130
3.0	6	1.996	5.116	-16.204
4.0	1	-8.405	5.051	2.467
4.0	2	-6.433	6.068	-0.212
4.0	3	-2.912	5.294	-7.707
5.0	1	-12.172	6.068	7.624
