J	?th	eig	newsr	ewsr
0	1th	-4.31	4.049	20.32
0	2th	7.444	2.572	-3.187
0	3th	10.32	7.399	7.347
0	4th	12.92	4.113	-0.6113
0	1th	5.611	4.228	-6.107
0	2th	9.976	4.228	-9.003
1	1th	-5.613	3.97	10.67
1	2th	-1.416	2.661	0.5455
1	3th	2.88	1.852	-1.156
1	4th	4.278	1.741	-5.574
1	5th	10.76	6.78	2.094
1	6th	12.14	4.935	-1.37
1	1th	3.799	4.587	0.2287
1	2th	4.792	5.29	3.977
1	3th	6.567	4.122	2.491
1	4th	6.647	3.416	2.504
1	5th	10.67	4.215	-13.01
1	6th	10.84	4.212	-13.45
2	1th	-0.5129	2.636	-3.152
2	2th	0.4892	2.653	-1.613
2	3th	4.113	1.774	-4.685
2	4th	11.22	5.901	4.091
2	5th	12.83	4.601	-4.834
2	6th	13.56	5.133	-10.88
2	1th	0.1464	5.506	11.75
2	2th	4.691	3.187	6.025
2	3th	6.978	3.429	0.9649
2	4th	8.187	2.676	-3.219
2	5th	8.289	4.955	-1.457
2	6th	9.497	2.986	-8.287
3	1th	-5.18	2.687	6.355
3	2th	9.118	7.399	5.091
3	3th	11.59	3.198	2.854
3	4th	14.16	4.178	-8.541
3	1th	5.391	3.476	0.5141
3	2th	6.007	3.766	1.278
3	3th	6.643	3.129	-0.2655
3	4th	8.48	2.839	-3.535
4	1th	12.76	3.939	-2.775
4	1th	0.453	3.929	6.229
4	2th	7.378	3.929	-0.4401
5	1th	8.577	5.371	4.594
