J	?th	eig	newsr	ewsr
0.5	1th	2.396	1.887	4.004
0.5	2th	5.92	1.26	0.1559
0.5	3th	7.992	1.037	0.3013
0.5	4th	9.6	0.2887	0.08223
0.5	5th	16.06	1.016	-1.865
0.5	6th	18.75	1.534	-1.619
0.5	1th	0.2186	0.7609	2.378
0.5	2th	10.09	2.653	2.396
0.5	3th	12.43	1.257	2.038
0.5	4th	12.86	1.17	-0.4914
0.5	5th	15.34	0.8501	-0.9895
1.5	1th	5.4	1.123	0.5821
1.5	2th	6.492	1.247	0.08048
1.5	3th	7.143	0.9891	0.7609
1.5	4th	8.698	0.9988	-1.773
1.5	5th	10.21	0.3649	0.207
1.5	6th	12.87	0.8608	-1.687
1.5	7th	16.14	1.869	1.911
1.5	8th	18.55	0.8596	-0.4749
1.5	1th	-0.9106	0.7553	3.008
1.5	2th	3.206	0.4914	-0.6929
1.5	3th	8.524	1.024	2.135
1.5	4th	10.33	1.39	0.4343
1.5	5th	10.65	1.796	1.679
1.5	6th	11.94	1.092	0.7393
1.5	7th	12.99	1.546	0.1381
1.5	8th	13.36	1.147	0.3172
1.5	9th	14.67	0.7103	-0.3413
1.5	10th	16.67	0.9321	-2.403
2.5	1th	1.034	1.651	5.08
2.5	2th	5.87	1.076	0.02507
2.5	3th	7.478	0.8056	-0.885
2.5	4th	7.857	0.7644	0.1517
2.5	5th	9.773	0.7047	0.07048
2.5	6th	12.61	1.059	-0.8037
2.5	7th	13.71	0.4466	-0.2673
2.5	8th	16.67	1.792	1.922
2.5	9th	18.53	1.346	0.1418
2.5	10th	19.89	0.5173	-0.676
2.5	1th	2.74	0.4706	-1.053
2.5	2th	10.24	1.712	1.357
2.5	3th	11.73	1.128	0.3127
2.5	4th	12.45	1.517	1.286
2.5	5th	13.02	0.677	0.1734
2.5	6th	13.79	0.9795	-1.287
2.5	7th	15.18	1.046	-1.239
2.5	8th	17.73	1.057	-1.717
3.5	1th	6.469	0.6921	-0.7276
3.5	2th	8.69	0.6873	0.3393
3.5	3th	10.8	0.98	0.2715
3.5	4th	18.73	1.271	-1.807
3.5	1th	10.75	1.642	0.5561
3.5	2th	11.82	1.069	0.7828
3.5	3th	12.73	0.8094	0.2334
3.5	4th	14.15	1.126	-0.7699
3.5	5th	15.75	0.8474	-0.4757
3.5	6th	17.63	0.6292	-1.728
4.5	1th	5.063	1.217	-0.6417
4.5	2th	10.6	0.6316	0.3647
4.5	3th	18.54	0.8318	0.1652
4.5	4th	21.16	0.5384	-1.259
4.5	1th	11.56	0.9914	-0.03056
4.5	2th	14.64	0.8073	0.2177
4.5	3th	15.82	0.9368	-0.7379
5.5	1th	13.65	1.005	-0.0826

